record_id,date,city,area_type,road_type,vehicle_count,avg_speed_kmph,congestion_level,accidents_reported,weather
1,2025-01-01 00:00:00,Mumbai,Suburban,Ring Road,1842,14,Medium,0,Cloudy
2,2025-01-01 01:00:00,Hyderabad,Highway,Highway,1346,33,High,0,Fog
3,2025-01-01 02:00:00,Delhi,Suburban,Ring Road,1066,73,Medium,0,Rain
4,2025-01-01 03:00:00,Hyderabad,Suburban,Highway,698,68,High,1,Cloudy
5,2025-01-01 04:00:00,Hyderabad,Highway,Ring Road,1413,47,Medium,0,Fog
6,2025-01-01 05:00:00,Bangalore,Urban,Ring Road,350,42,High,0,Fog
7,2025-01-01 06:00:00,Delhi,Urban,Main Road,1553,19,Medium,0,Fog
8,2025-01-01 07:00:00,Delhi,Urban,Highway,1907,46,Low,0,Rain
9,2025-01-01 08:00:00,Delhi,Urban,Highway,1617,20,Medium,1,Clear
10,2025-01-01 09:00:00,Hyderabad,Highway,Highway,1630,33,Low,0,Fog
11,2025-01-01 10:00:00,Mumbai,Highway,Highway,1338,80,Low,0,Fog
12,2025-01-01 11:00:00,Delhi,Highway,Ring Road,1615,30,Low,1,Fog
13,2025-01-01 12:00:00,Hyderabad,Suburban,Main Road,1669,29,Severe,0,Rain
14,2025-01-01 13:00:00,Bangalore,Highway,Main Road,215,19,Medium,0,Cloudy
15,2025-01-01 14:00:00,Mumbai,Urban,Street,365,56,Severe,1,Rain
16,2025-01-01 15:00:00,Bangalore,Suburban,Highway,50,56,Severe,1,Fog
17,2025-01-01 16:00:00,Mumbai,Urban,Street,1069,24,Medium,0,Clear
18,2025-01-01 17:00:00,Hyderabad,Urban,Ring Road,1834,53,Low,0,Fog
19,2025-01-01 18:00:00,Chennai,Highway,Street,1334,71,Severe,0,Cloudy
20,2025-01-01 19:00:00,Mumbai,Highway,Highway,112,15,Severe,0,Clear
21,2025-01-01 20:00:00,Bangalore,Urban,Main Road,532,75,High,0,Clear
22,2025-01-01 21:00:00,Hyderabad,Urban,Main Road,1749,85,Medium,0,Rain
23,2025-01-01 22:00:00,Mumbai,Suburban,Highway,1394,13,Severe,0,Rain
24,2025-01-01 23:00:00,Chennai,Highway,Ring Road,1919,32,Medium,0,Cloudy
25,2025-01-02 00:00:00,Chennai,Suburban,Highway,1274,22,Medium,0,Rain
26,2025-01-02 01:00:00,Delhi,Suburban,Ring Road,271,40,Severe,0,Cloudy
27,2025-01-02 02:00:00,Delhi,Suburban,Main Road,201,25,Medium,0,Clear
28,2025-01-02 03:00:00,Bangalore,Urban,Ring Road,693,50,Low,1,Clear
29,2025-01-02 04:00:00,Mumbai,Suburban,Highway,675,10,Severe,1,Clear
30,2025-01-02 05:00:00,Mumbai,Suburban,Highway,1535,21,Severe,0,Cloudy
31,2025-01-02 06:00:00,Delhi,Urban,Highway,266,65,Severe,0,Rain
32,2025-01-02 07:00:00,Mumbai,Highway,Ring Road,245,59,High,1,Rain
33,2025-01-02 08:00:00,Mumbai,Highway,Ring Road,1866,29,High,1,Rain
34,2025-01-02 09:00:00,Chennai,Suburban,Ring Road,1275,75,High,0,Fog
35,2025-01-02 10:00:00,Delhi,Urban,Main Road,1044,45,High,0,Clear
36,2025-01-02 11:00:00,Hyderabad,Highway,Street,1064,88,Severe,0,Clear
37,2025-01-02 12:00:00,Delhi,Suburban,Street,696,47,Low,0,Fog
38,2025-01-02 13:00:00,Hyderabad,Suburban,Highway,1307,31,Medium,1,Clear
39,2025-01-02 14:00:00,Chennai,Urban,Main Road,1214,70,Medium,1,Clear
40,2025-01-02 15:00:00,Bangalore,Suburban,Ring Road,757,59,Severe,2,Fog
41,2025-01-02 16:00:00,Mumbai,Highway,Highway,1571,68,Low,0,Clear
42,2025-01-02 17:00:00,Chennai,Urban,Main Road,1628,29,Medium,0,Rain
43,2025-01-02 18:00:00,Mumbai,Highway,Highway,1130,45,Low,0,Fog
44,2025-01-02 19:00:00,Bangalore,Highway,Main Road,1577,24,Severe,1,Clear
45,2025-01-02 20:00:00,Bangalore,Highway,Main Road,1215,71,High,0,Rain
46,2025-01-02 21:00:00,Chennai,Suburban,Street,771,12,Low,0,Cloudy
47,2025-01-02 22:00:00,Bangalore,Suburban,Highway,1657,14,Medium,0,Clear
48,2025-01-02 23:00:00,Hyderabad,Highway,Ring Road,1809,65,Medium,0,Fog
49,2025-01-03 00:00:00,Bangalore,Highway,Street,1612,40,Medium,0,Rain
50,2025-01-03 01:00:00,Mumbai,Urban,Street,689,44,High,0,Cloudy
51,2025-01-03 02:00:00,Mumbai,Urban,Ring Road,155,80,Low,0,Cloudy
52,2025-01-03 03:00:00,Mumbai,Suburban,Main Road,214,79,Low,0,Clear
53,2025-01-03 04:00:00,Mumbai,Suburban,Ring Road,264,35,Medium,0,Cloudy
54,2025-01-03 05:00:00,Hyderabad,Urban,Highway,1144,10,Low,0,Fog
55,2025-01-03 06:00:00,Delhi,Highway,Ring Road,1789,16,Medium,0,Cloudy
56,2025-01-03 07:00:00,Chennai,Suburban,Main Road,1738,45,Low,0,Clear
57,2025-01-03 08:00:00,Mumbai,Highway,Ring Road,1652,85,High,1,Cloudy
58,2025-01-03 09:00:00,Bangalore,Urban,Main Road,139,34,High,1,Clear
59,2025-01-03 10:00:00,Mumbai,Suburban,Main Road,1845,68,Severe,1,Cloudy
60,2025-01-03 11:00:00,Bangalore,Suburban,Highway,923,70,Severe,0,Rain
61,2025-01-03 12:00:00,Bangalore,Urban,Ring Road,1301,38,Severe,0,Clear
62,2025-01-03 13:00:00,Mumbai,Suburban,Ring Road,1152,27,Low,0,Fog
63,2025-01-03 14:00:00,Hyderabad,Urban,Highway,657,50,High,1,Fog
64,2025-01-03 15:00:00,Bangalore,Suburban,Main Road,398,28,High,2,Cloudy
65,2025-01-03 16:00:00,Bangalore,Urban,Ring Road,1915,13,High,0,Rain
66,2025-01-03 17:00:00,Mumbai,Suburban,Highway,943,74,Medium,0,Cloudy
67,2025-01-03 18:00:00,Bangalore,Highway,Main Road,295,50,Low,0,Cloudy
68,2025-01-03 19:00:00,Bangalore,Highway,Highway,321,24,Low,0,Rain
69,2025-01-03 20:00:00,Mumbai,Highway,Ring Road,452,63,Severe,1,Clear
70,2025-01-03 21:00:00,Mumbai,Suburban,Highway,1742,73,Medium,0,Fog
71,2025-01-03 22:00:00,Chennai,Suburban,Street,1189,81,Medium,0,Rain
72,2025-01-03 23:00:00,Hyderabad,Highway,Main Road,1508,24,High,0,Cloudy
73,2025-01-04 00:00:00,Hyderabad,Highway,Street,1603,88,Severe,0,Clear
74,2025-01-04 01:00:00,Bangalore,Urban,Street,1515,59,Low,0,Cloudy
75,2025-01-04 02:00:00,Hyderabad,Urban,Main Road,1245,31,Medium,0,Clear
76,2025-01-04 03:00:00,Bangalore,Urban,Main Road,1089,27,High,0,Fog
77,2025-01-04 04:00:00,Chennai,Highway,Highway,1010,89,Low,0,Fog
78,2025-01-04 05:00:00,Mumbai,Highway,Main Road,1825,11,High,0,Clear
79,2025-01-04 06:00:00,Mumbai,Highway,Street,947,45,Low,1,Fog
80,2025-01-04 07:00:00,Mumbai,Urban,Street,1129,29,High,0,Cloudy
81,2025-01-04 08:00:00,Hyderabad,Suburban,Ring Road,1664,25,Low,0,Clear
82,2025-01-04 09:00:00,Chennai,Highway,Main Road,1176,76,Severe,0,Cloudy
83,2025-01-04 10:00:00,Hyderabad,Suburban,Street,333,39,Low,2,Clear
84,2025-01-04 11:00:00,Hyderabad,Suburban,Ring Road,1778,64,Low,1,Cloudy
85,2025-01-04 12:00:00,Chennai,Suburban,Ring Road,566,75,Low,0,Fog
86,2025-01-04 13:00:00,Chennai,Urban,Highway,667,35,High,1,Rain
87,2025-01-04 14:00:00,Chennai,Suburban,Street,1351,66,Medium,0,Cloudy
88,2025-01-04 15:00:00,Chennai,Highway,Highway,1958,78,Low,1,Clear
89,2025-01-04 16:00:00,Mumbai,Urban,Street,661,11,Low,1,Fog
90,2025-01-04 17:00:00,Delhi,Highway,Highway,799,65,Severe,1,Clear
91,2025-01-04 18:00:00,Delhi,Highway,Highway,1342,71,Low,0,Cloudy
92,2025-01-04 19:00:00,Chennai,Urban,Main Road,1906,43,Severe,0,Clear
93,2025-01-04 20:00:00,Delhi,Highway,Highway,449,65,Low,1,Clear
94,2025-01-04 21:00:00,Delhi,Highway,Main Road,1576,64,High,0,Cloudy
95,2025-01-04 22:00:00,Chennai,Urban,Ring Road,135,29,Medium,0,Fog
96,2025-01-04 23:00:00,Delhi,Highway,Street,369,59,Medium,0,Fog
97,2025-01-05 00:00:00,Hyderabad,Suburban,Ring Road,1105,34,Medium,1,Cloudy
98,2025-01-05 01:00:00,Bangalore,Highway,Street,385,34,High,0,Fog
99,2025-01-05 02:00:00,Bangalore,Suburban,Ring Road,100,62,Severe,0,Rain
100,2025-01-05 03:00:00,Chennai,Highway,Street,1152,23,Medium,0,Clear
101,2025-01-05 04:00:00,Mumbai,Urban,Highway,1771,69,High,0,Cloudy
102,2025-01-05 05:00:00,Chennai,Urban,Street,223,52,High,0,Rain
103,2025-01-05 06:00:00,Mumbai,Highway,Street,1691,71,Low,1,Clear
104,2025-01-05 07:00:00,Bangalore,Urban,Ring Road,550,85,Severe,0,Cloudy
105,2025-01-05 08:00:00,Chennai,Highway,Ring Road,1648,78,High,1,Fog
106,2025-01-05 09:00:00,Hyderabad,Urban,Ring Road,125,72,Severe,0,Cloudy
107,2025-01-05 10:00:00,Delhi,Suburban,Main Road,365,11,Medium,0,Cloudy
